City,State,Date
Poughkeepsie,NY,20220426
Albany,NY,20220427
New Bedford,MA,20220429
Orono,ME,20220430
Hampton Beach,NH,20220501
Portland,ME,20220503
New London,CT,20220504
Medford,MA,20220506
Medford,MA,20220507
Burlington,VT,20220508
Ridgefield,CT,20220510
Rochester,NY,20220511
Wilkes-Barre,PA,20220514
Erie,PA,20220515
Canton,OH,20220517
Saginaw,MI,20220518
Detroit,MI,20220520
Nashville,IN,20220521
Springfield,IL,20220522
Milwaukee,WI,20220524
Evansville,IN,20220525
Pelham,TN,20220527
Pelham,TN,20220528
Nashville,TN,20220529
Little Rock,AR,20220531
Tulsa,OK,20220601
Denver,CO,20220603
Denver,CO,20220604
Salt Lake City,UT,20220605
Boise,ID,20220606
Las Vegas,NV,20220608
Las Vegas,NV,20220610
Las Vegas,NV,20220611
Reno,NV,20220612
San Francisco,CA,20220615
San Francisco,CA,20220616
Santa Barbara,CA,20220620
Bakersfield,CA,20220621
Spokane,WA,20220624
Bend,OR,20220625
Portland,OR,20220626
Seattle,WA,20220628
Seattle,WA,20220629
Eugene,OR,20220630
Vancouver,BC,20220702
Edmonton,AB,20220704
Calgary,AB,20220705
Calgary,AB,20220706
Regina,SK,20220708
Saskatoon,SK,20220709
Winnipeg,MB,20220710
Duluth,MN,20220711
Madison,WI,20220714
Chicago,IL,20220715
Chicago,IL,20220716
Cedar Rapids,IA,20220719
Columbia,MO,20220720
Lincoln,NE,20220722
Mankato,MN,20220723
Minneapolis,MN,20220724
Elkhart,IN,20220726
Lewiston,NY,20220729
Toronto,ON,20220801
Toronto,ON,20220802
Williamsport,PA,20220803
Lancaster,PA,20220806
Lancaster,PA,20220807
Newport News,VA,20220819
Richmond,VA,20220810
Wilmington,NC,20220812
Charlotte,NC,20220813
Charleston,SC,20220814
Knoxville,TN,20220817
Greenville,SC,20220818
Huntsville,AL,20220819
Birmingham,AL,20220819
Ashland,KY,20220822
Dayton,OH,20220823
Grand Rapids,MI,20220825
Benton Harbor,MI,20220826
Chesterfield,MO,20220828
Springfield,MO,20220830
Topeka,KS,20220831
Wichita,KS,20220901
Kansas City,MO,20220902
Midwest City,OK,20220904
Colorado Springs,CO,20220906
Grand Junction,CO,20220907
Greeley,CO,20220909
Santa Fe,NM,20220910
Chandler,AZ,20220911
Riverside,CA,20220913
Paso Robles,CA,20220915
Temecula,CA,20220916
Thousand Oaks,CA,20220918
Saratoga,CA,20220921
Davis,CA,20220924
San Diego,CA,20220925
San Diego,CA,20220926
Tucson,AZ,20220927
Lubbock,TX,20220929
Dallas,TX,20220930
Houston,TX,20221001
Austin,TX,20221002
San Antonio,TX,20221004
Memphis,TN,20221006
Shreveport,LA,20221007
Lafayette,LA,20221008
Pensacola,FL,20221009
Melbourne,FL,20221011
Fort Lauderdale,FL,20221012
Fort Lauderdale,FL,20221013
Clearwater,FL,20221015
Orlando,FL,20221016
Orange Park,FL,20221017
Washington,DC,20221019
Atlanta,GA,20221021
Atlanta,GA,20221022
Raleigh,NC,20221023
Roanoke,VA,20221025
Pittsburgh,PA,20221026
Philadelphia,PA,20221028
New York,NY,20221029